key	en	zh	ja	es	ru	fr
key	en	zh	ja	es	ru	fr
LD.Weather.Rain.01	It looks like it's going to rain today…It looks like it's going to rain today…It looks like it's going to rain today…It looks like it's going to rain today…It looks like it's going to rain today…	今天好像要下雨了。	今日は雨が降りそうです。	Parece que va a llover hoy.	Похоже, сегодня будет дождь.	On dirait qu'il va pleuvoir aujourd'hui.
LD.Weather.Rain.02	I better bring an umbrella.	我最好带把伞。	傘を持ってきたほうがいい。	Mejor llevo un paraguas.	Лучше взять зонт.	Je ferais mieux de prendre un parapluie.
LD.Weather.Rain.03	He decided to bring an umbrella after all.	毕竟他决定带一把雨伞。	彼は結局傘を持って行くことにした。	Decidió traer un paraguas después de todo.	В итоге он решил взять зонт.	Il a finalement décidé de prendre un parapluie.
LD.OK	Okay.	好。	はい。	Bueno.	Хорошо.	D'accord.
LD.MidWest_Prompt	What are you, mid-western?	你是中西部人吗？	あなたは中西部出身ですか？	¿Eres del medio oeste?	Ты что, со Среднего Запада?	Tu viens du Midwest ou quoi ?
LD.MidWest_Answer	What are you talking aboot?	你在说什么呢？	何の話をしているの？	¿De qué estás hablando?	Ты о чём вообще?	Tu racontes quoi, là ?
I.Copper1	Copper Coin	铜币	銅貨	Moneda de Cobre	Медная монета	Pièce de cuivre
I.Copper1Desc	Currency of the World Order	世界秩序的货币	世界秩序の通貨	Moneda del Orden Mundial	Валюта Мирового Порядка	Monnaie de l'Ordre Mondial
I.Silver1	Silver Coin	银币	銀貨	Moneda de Plata	Серебряная монета	Pièce d'argent
I.Silver1Desc	Worth ten coppers, and twice the trouble.	值十枚铜币，惹的麻烦却是两倍。	銅貨十枚の価値、面倒はその倍。	Vale diez de cobre, y el doble de problemas.	Стоит десяти медных и вдвое больше хлопот.	Vaut dix pièces de cuivre, et le double d'ennuis.
I.Newspaper	Newspaper	报纸	新聞	Periódico	Газета	Journal
I.NewspaperDesc	Yesterday's news, minus the pages the ministry removed.	昨天的新闻，少了被部里撤走的那几页。	昨日の新聞、省庁が抜き取った頁を除いて。	Las noticias de ayer, menos las páginas que el ministerio quitó.	Вчерашние новости, без страниц, изъятых министерством.	Les nouvelles d'hier, moins les pages retirées par le ministère.
I.Matchbook	Matchbook	火柴册	マッチブック	Cerillas	Книжечка спичек	Pochette d'allumettes
I.MatchbookDesc	Half spent. The cover advertises a hotel bar.	已经用掉一半。封面上印着一家酒店酒吧的广告。	半分使ってある。表紙にはホテルのバーの広告。	Medio gastadas. La tapa anuncia el bar de un hotel.	Наполовину израсходована. На обложке реклама гостиничного бара.	À moitié vide. La couverture vante le bar d'un hôtel.
I.Coffee	Cup of Coffee	一杯咖啡	コーヒー	Taza de Café	Чашка кофе	Tasse de café
I.CoffeeDesc	Bitter, black, and still faintly warm.	又苦又黑，还留着一丝余温。	苦くて黒く、まだほのかに温かい。	Amargo, negro y aún tibio.	Горький, чёрный и ещё чуть тёплый.	Amer, noir, et encore un peu chaud.
I.BreadRoll	Bread Roll	面包卷	パン	Panecillo	Булочка	Petit pain
I.BreadRollDesc	Dining-car bread. Filling, if not fresh.	餐车上的面包。虽不新鲜，倒也管饱。	食堂車のパン。新鮮ではないが腹は満たす。	Pan del vagón comedor. Llena, aunque no esté fresco.	Хлеб из вагона-ресторана. Сытный, хоть и не свежий.	Du pain du wagon-restaurant. Nourrissant, à défaut d'être frais.
I.Bandage	Bandage	绷带	包帯	Venda	Бинт	Bandage
I.BandageDesc	Clean linen, rolled tight. Ask no questions.	干净的亚麻布，卷得紧实。别多问。	清潔な麻布をきつく巻いたもの。詮索は無用。	Lino limpio, bien enrollado. No hagas preguntas.	Чистое полотно, туго скатанное. Вопросов не задавать.	Toile propre, serrée en rouleau. Ne posez pas de questions.
I.Umbrella	Umbrella	雨伞	傘	Paraguas	Зонт	Parapluie
I.UmbrellaDesc	Black, sturdy, and never quite dry.	黑色，结实，却从没真正干过。	黒くて丈夫、そして決して乾かない。	Negro, resistente y nunca del todo seco.	Чёрный, крепкий и никогда до конца не просыхает.	Noir, solide, et jamais tout à fait sec.
I.RoomKey	Hotel Room Key	旅馆房间钥匙	ホテルの部屋の鍵	Llave de la Habitación	Ключ от номера	Clé de chambre d'hôtel
I.RoomKeyDesc	Brass, heavy, stamped with a number nobody says aloud.	黄铜的，沉甸甸，刻着一个没人敢念出口的号码。	真鍮製で重く、誰も口にしない番号が刻まれている。	De latón, pesada, con un número que nadie dice en voz alta.	Латунный, тяжёлый, с номером, который никто не произносит вслух.	En laiton, lourde, frappée d'un numéro que personne ne prononce à voix haute.
I.Letter	Sealed Letter	密封的信	封書	Carta Sellada	Запечатанное письмо	Lettre scellée
I.LetterDesc	No sender. The wax bears no crest at all.	没有寄信人。火漆上没有任何徽记。	差出人はない。封蝋には紋章すらない。	Sin remitente. El lacre no lleva escudo alguno.	Отправителя нет. На сургуче нет никакого герба.	Aucun expéditeur. La cire ne porte aucun blason.
I.TrainTicket	Train Ticket	火车票	列車の切符	Billete de Tren	Железнодорожный билет	Billet de train
I.TrainTicketDesc	One way, out of the capital. The date is smudged.	单程，驶离首都。日期被蹭花了。	片道、首都発。日付は滲んでいる。	Solo ida, fuera de la capital. La fecha está borrosa.	В один конец, из столицы. Дата смазана.	Aller simple, au départ de la capitale. La date est effacée.
I.PocketWatch	Pocket Watch	怀表	懐中時計	Reloj de Bolsillo	Карманные часы	Montre de poche
I.PocketWatchDesc	Keeps perfect time. The engraving has been filed off.	走时分毫不差。上面的刻字已被磨去。	時刻は正確。刻印は削り取られている。	Marca la hora con precisión. El grabado ha sido limado.	Идут безупречно. Гравировка спилена.	Parfaitement à l'heure. La gravure a été limée.
LD.IntroL1	The rain in the capital had a gray, industrial taste. From the dining car, you could see the Hotel Regina. It was a good hotel before the new ministry put the seals on the doors. Now it stood as a monument to a quiet kind of subtraction.	首都的雨有一股灰蒙蒙的工业气味。从餐车上望去，可以看见雷吉娜酒店。在新部门把封条贴上门之前，那是一家很好的酒店。如今它只是一座纪念碑，纪念着某种悄无声息的删减。	首都の雨には、灰色の工業的な味がした。食堂車からはホテル・レジーナが見えた。新しい省が扉に封印を貼るまでは、良いホテルだった。今ではそれは、静かな削減の記念碑として建っていた。	La lluvia de la capital tenía un sabor gris, industrial. Desde el vagón comedor se veía el Hotel Regina. Era un buen hotel antes de que el nuevo ministerio pusiera los sellos en las puertas. Ahora se alzaba como monumento a una forma silenciosa de sustracción.	Дождь в столице отдавал серым, промышленным привкусом. Из вагона-ресторана был виден отель «Регина». Это была хорошая гостиница, пока новое министерство не опечатало двери. Теперь она стояла памятником тихому вычитанию.	La pluie de la capitale avait un goût gris, industriel. Depuis le wagon-restaurant, on apercevait l'Hôtel Regina. C'était un bon hôtel avant que le nouveau ministère n'appose les scellés sur les portes. Il se dressait désormais en monument à une forme silencieuse de soustraction.
LD.NewLine	No crowds, no firing squads; just a name removed from the registry and a gentleman escorted to a room he was no longer permitted to leave.	没有人群，没有行刑队；只是从登记册上抹去一个名字，再把一位先生请进一个他再也不被允许离开的房间。	群衆もなく、銃殺隊もない。ただ名簿から名前がひとつ消され、紳士がひとり、二度と出ることを許されない部屋へと案内されただけだった。	Sin multitudes, sin pelotones de fusilamiento; solo un nombre borrado del registro y un caballero acompañado a una habitación que ya no tenía permiso para abandonar.	Ни толпы, ни расстрельной команды; просто имя, вычеркнутое из реестра, и господин, препровождённый в комнату, покидать которую ему больше не дозволялось.	Pas de foule, pas de peloton d'exécution ; juste un nom rayé du registre et un gentleman conduit dans une chambre qu'il n'avait plus le droit de quitter.
