SubDialogID	LocalizationDialogID	Style	Next	ItemAward	ItemDependency	Pitch
S.TestSpeech	LD.Weather.Rain.01	NPC_speech				3
S.TestThought	LD.Weather.Rain.02	NPC_thought	D.TestNarrator			2
S.TestNarrator	LD.Weather.Rain.03	narrator	<end>			1
S.OK_TestThought	LD.OK	NPC_speech	D.TestThought			2
S.OK_TestNarrator	LD.OK	NPC_thought	D.TestNarrator			1
S.MidWest_TestThought	LD.MidWest_Prompt	NPC_speech	D.MidWest_Response			2
S.MidWest_Response	LD.MidWest_Answer	NPC_speech	<end>			3
S.IntroL1	LD.IntroL1	narrator	D.Intro2			2
S.Intro2	LD.Intro2	NPC_speech	D.Intro3			2
S.Intro3	LD.Intro3	NPC_speech	<end>			2
S.TestScroll1	LD.TestScroll1	NPC_speech	D.TestThought			2
S.TestScroll2	LD.TestScroll2	NPC_speech	D.TestThought			2
S.TestScroll3	LD.TestScroll3	NPC_speech	D.TestThought			2
S.Charity	LD.Charity	NPC_speech	D.CharityAward			2
S.CharityAward	LD.CharityAward	narrator	<end>	copper1		1
